22:53:00.003 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 22:53:00
22:53:00.004 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
22:53:00.005 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
22:54:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 22:54:00
22:54:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
22:54:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
22:55:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 22:55:00
22:55:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
22:55:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
22:56:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 22:56:00
22:56:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
22:56:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
22:57:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 22:57:00
22:57:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
22:57:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
22:58:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 22:58:00
22:58:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
22:58:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
22:59:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 22:59:00
22:59:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
22:59:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
23:00:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 23:00:00
23:00:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
23:00:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
23:01:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 23:01:00
23:01:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
23:01:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
23:02:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 23:02:00
23:02:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
23:02:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
23:03:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 23:03:00
23:03:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
23:03:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
23:04:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- The time is now 23:04:00
23:04:00.000 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- /home/coder/Downloads/stooq/in
23:04:00.001 [scheduling-1] INFO  c.x.sylar.scheduling.MainScheduler -- file: ln_20240413.png
